YEAR,temp_above_90,humidity_above_90,humidity_below_10,U_Wet-Hot,U_Dry-Hot,Name,,YEAR2,temp_above_90,humidity_above_90,humidity_below_10,R_Wet-Hot,R_Dry-Hot,Name2
1981,19,15,17,7,1,a1,,1981,19,15,17,7,1,a1
1982,9,11,25,2,1,a1,,1982,10,10,21,2,1,a1
1983,15,16,14,4,0,a1,,1983,15,17,15,5,0,a1
1984,10,11,6,3,0,a1,,1984,10,11,7,1,0,a1
1985,1,11,5,0,0,a1,,1985,1,13,5,0,0,a1
1986,6,6,11,1,0,a1,,1986,6,5,13,1,0,a1
1987,2,12,8,1,0,a1,,1987,2,12,10,1,0,a1
1988,8,15,8,4,0,a1,,1988,11,14,8,4,0,a1
1989,18,4,27,1,2,a1,,1989,16,3,26,1,0,a1
1990,4,21,5,2,0,a1,,1990,5,20,5,3,0,a1
1991,10,13,9,5,0,a1,,1991,10,14,9,4,0,a1
1992,14,6,19,1,0,a1,,1992,10,6,20,0,0,a1
1993,5,8,13,2,0,a1,,1993,3,5,12,2,0,a1
1994,29,40,5,17,0,a1,,1994,29,41,5,18,0,a1
1995,0,8,14,0,0,a1,,1995,0,6,16,0,0,a1
1996,9,8,19,2,0,a1,,1996,10,9,19,2,0,a1
1997,38,17,20,6,7,a1,,1997,39,18,22,7,6,a1
1998,16,21,6,8,0,a1,,1998,15,21,6,9,0,a1
1999,22,18,17,6,0,a1,,1999,25,20,16,9,0,a1
2000,45,20,11,12,2,a1,,2000,41,22,11,10,2,a1
2001,24,15,13,3,0,a1,,2001,27,16,14,3,0,a1
2002,17,12,32,3,0,a1,,2002,19,13,31,5,1,a1
2003,6,4,13,1,0,a1,,2003,4,3,9,1,0,a1
2004,16,8,24,3,3,a1,,2004,16,9,25,3,3,a1
2005,16,19,10,11,0,a1,,2005,15,19,9,11,0,a1
2006,9,8,13,0,0,a1,,2006,10,6,12,0,0,a1
2007,23,10,18,5,1,a1,,2007,25,10,17,6,1,a1
2008,4,18,8,3,0,a1,,2008,3,16,7,2,0,a1
2009,19,8,18,1,0,a1,,2009,19,8,19,1,0,a1
2010,12,19,10,5,0,a1,,2010,13,19,10,6,0,a1
2011,5,7,12,0,0,a1,,2011,6,5,10,0,0,a1
2012,7,17,9,3,0,a1,,2012,8,16,9,3,0,a1
2013,18,25,7,7,0,a1,,2013,20,21,10,8,0,a1
2014,20,3,21,1,0,a1,,2014,20,2,23,1,0,a1
2015,25,3,27,1,3,a1,,2015,26,3,25,1,2,a1
2016,17,20,10,8,0,a1,,2016,14,21,11,7,0,a1
2017,37,19,36,10,3,a1,,2017,34,21,34,9,2,a1
2018,30,21,10,9,0,a1,,2018,30,20,10,9,0,a1
2019,27,15,19,5,2,a1,,2019,26,16,17,6,1,a1
2020,18,15,12,5,2,a1,,2020,16,13,11,5,1,a1
2021,14,22,5,4,0,a1,,2021,13,21,8,3,0,a1
2022,15,27,11,4,0,a1,,2022,15,29,13,6,0,a1
1981,9,20,17,2,0,b1,,1981,8,22,17,1,0,b1
1982,10,7,15,1,0,b1,,1982,11,5,15,1,0,b1
